sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-DD-AAC8-01	TCGA-DD-AAC8-01	12.03	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAE6-01	TCGA-DD-AAE6-01	12.03	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H6-01	TCGA-2Y-A9H6-01	12.02	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A217-01	TCGA-BC-A217-01	12.02	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADQ-01	TCGA-DD-AADQ-01	12.02	Liver Hepatocellular Carcinoma	Liver
TCGA-PD-A5DF-01	TCGA-PD-A5DF-01	12.02	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A6M3-01	TCGA-RC-A6M3-01	12.02	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-5262-01	TCGA-CC-5262-01	12.01	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A115-01	TCGA-DD-A115-01	12.01	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A3CI-01	TCGA-G3-A3CI-01	12.01	Liver Hepatocellular Carcinoma	Liver
TCGA-BW-A5NP-01	TCGA-BW-A5NP-01	12.00	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADI-01	TCGA-DD-AADI-01	12.00	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A7S9-01	TCGA-RC-A7S9-01	12.00	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A7SK-01	TCGA-RC-A7SK-01	12.00	Liver Hepatocellular Carcinoma	Liver
TCGA-ZS-A9CE-01	TCGA-ZS-A9CE-01	12.00	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A8HS-01	TCGA-CC-A8HS-01	11.99	Liver Hepatocellular Carcinoma	Liver
TCGA-ZS-A9CF-02	TCGA-ZS-A9CF-02	11.99	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A4-01	TCGA-DD-A3A4-01	11.98	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A5SL-01	TCGA-G3-A5SL-01	11.98	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A7M5-01	TCGA-G3-A7M5-01	11.96	Liver Hepatocellular Carcinoma	Liver
TCGA-MI-A75G-01	TCGA-MI-A75G-01	11.96	Liver Hepatocellular Carcinoma	Liver
TCGA-WJ-A86L-01	TCGA-WJ-A86L-01	11.96	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVV-01	TCGA-DD-AAVV-01	11.94	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25X-01	TCGA-G3-A25X-01	11.94	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAV3-01	TCGA-G3-AAV3-01	11.94	Liver Hepatocellular Carcinoma	Liver
TCGA-MR-A8JO-01	TCGA-MR-A8JO-01	11.94	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A7SB-01	TCGA-RC-A7SB-01	11.94	Liver Hepatocellular Carcinoma	Liver
TCGA-4R-AA8I-01	TCGA-4R-AA8I-01	11.93	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACA-02	TCGA-DD-AACA-02	11.93	Liver Hepatocellular Carcinoma	Liver
TCGA-EP-A26S-01	TCGA-EP-A26S-01	11.93	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A6M4-01	TCGA-RC-A6M4-01	11.93	Liver Hepatocellular Carcinoma	Liver
GTEX-Y5LM-0426-SM-4VBRO	GTEX-Y5LM-0426-SM-4VBRO	11.92	Liver	Liver
TCGA-DD-AACJ-01	TCGA-DD-AACJ-01	11.92	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAEA-01	TCGA-DD-AAEA-01	11.91	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A2QQ-01	TCGA-FV-A2QQ-01	11.91	Liver Hepatocellular Carcinoma	Liver
TCGA-UB-A7MC-01	TCGA-UB-A7MC-01	11.91	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A11B-01	TCGA-DD-A11B-01	11.90	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADP-01	TCGA-DD-AADP-01	11.90	Liver Hepatocellular Carcinoma	Liver
